﻿DayOfTheWeek,Hour,Weekday/Weekend,CompletedTrips
Friday,2,Weekday,"2,416"
Thursday,2,Weekday,"1,693"
Wednesday,2,Weekday,"1,436"
Tuesday,2,Weekday,"1,300"
Monday,2,Weekday,"1,503"
Friday,1,Weekday,"4,375"
Thursday,1,Weekday,"3,570"
Wednesday,1,Weekday,"2,928"
Tuesday,1,Weekday,"2,606"
Monday,1,Weekday,"2,702"
Friday,0,Weekday,"8,460"
Thursday,0,Weekday,"7,097"
Wednesday,0,Weekday,"6,086"
Tuesday,0,Weekday,"5,490"
Monday,0,Weekday,"5,574"
